foodName,carbohydrates,protein,fat
幼儿配方奶粉（惠氏金装 幼儿乐幼儿配方奶粉）,1.7,16.0,60.7
幼儿配方奶粉（美素佳儿 GOLD 金装幼儿配方奶粉）,2.4,16.2,59.9
幼儿配方奶粉（美赞臣安 儿宝幼儿配方奶粉）,,16.5,58.0
幼儿配方奶粉（能慧金装 幼儿配方奶粉）,1.9,21.5,53.5
幼儿配方奶粉（欧世蒙牛金 装佳智幼儿配方奶粉3阶段）,,21.3,52.5
幼儿配方奶粉（雀巢力多 精幼儿配方奶粉3),1.7,19.8,29.7
幼儿配方奶粉（雀巢能恩 全进口奶源幼儿配方奶粉3）,,20.2,59.1
幼儿配方奶粉（三元爱力 优幼儿配方奶粉）,0.9,19.5,54.1
幼儿配方奶粉（三元爱欣 宝金装幼儿配方奶粉),,,54.8
幼儿配方奶粉（三元爱欣 宝幼儿配方奶粉）,54.9,19.5,
幼儿配方奶粉（三元金装 爱力优幼儿配方奶粉),,19.0,54.1
幼儿配方奶粉（圣元优博 爱系列3幼儿配方奶粉）,,18.0,57.6
幼儿配方奶粉（圣元优聪 金装幼儿配方奶粉）,,18.5,58.2
幼儿配方奶粉（特选健儿 成长配方奶粉3阶段）,0.6,21.6,56.2
幼儿配方奶粉（完达山3 段配方奶粉幼儿配方奶粉）,0.9,22.0,55.4
幼儿配方奶粉（完达山金 装元乳幼儿配方奶粉）,1.1,22.0,56.7
幼儿配方奶粉（完达山育儿 慧金装幼儿配方奶粉3阶段),0.9,22.0,55.6
幼儿配方奶粉（完达山元 乳幼儿配方奶粉3阶段）,0.9,22.0,56.5
幼儿配方奶粉（雅培金装 喜康宝幼儿配方奶粉）,2.6,23.8,52.6
幼儿配方奶粉（雅培金装 小安素全营养幼儿配方粉）,,17.1,62.3
幼儿配方奶粉（雅士利α- 金装幼儿配方奶粉）,2.0,21.0,53.7
幼儿配方奶粉（伊利金领 冠幼儿配方奶粉）,1.0,20.5,54.3
幼儿配方奶粉（伊利金装 幼儿配方奶粉）,1.0,17.8,57.6
幼儿配方奶粉（伊利幼儿 配方奶粉）,54.9,17.6,19.0
幼儿配方羊奶粉（美可高 特幼儿配方羊奶粉）,46.5,20.8,25.0
纯牛奶（代表值，全脂）,4.9,3.3,3.6
纯牛奶 (全脂，美国牛),4.6,2.9,3.2
纯牛奶（全脂，德国牛）,5.1,3.1,3.0
纯牛奶(全脂，光明牌),5.0,3.1,3.2
纯牛奶（全脂，乐百氏牌）,4.8,3.3,3.8
"纯牛奶(全脂,帕玛拉特牌)",5.3,3.0,3.1
纯牛奶（全脂，三元牌）,5.1,3.4,3.9
纯牛奶(全脂，完达山牌),4.9,2.9,3.2
纯牛奶（全脂，龙丹牌),5.1,2.9,3.8
纯牛奶 (全脂，蒙牛牌),5.3,3.1,3.7
纯牛奶（全脂，新南洋牌）,5.1,3.1,3.8
纯牛奶 (全脂，帕玛拉特),5.1,2.9,3.2
纯牛奶 (全脂，伊利牌),5.4,3.2,3.7
