foodName,carbohydrates,protein,fat
吊蛋,16.8,0.8,0.4
面蛋,21.7,1.6,0.5
酸刺,25.5,2.8,0.3
蛇果,14.9,0.1,0.2
小米,75.1,9.0,3.1
小米面,77.7,7.2,2.1
小米粥,8.4,1.4,0.7
小米 (黄),77.7,8.9,3.0
大黄米[黍子],71.1,13.6,2.7
黄米,76.9,9.7,1.5
鸭（代表值）,0.2,15.5,19.7
公麻鸭,6.1,14.3,30.9
母麻鸭,1.4,13.0,44.8
鸭胸脯肉,4.0,15.0,1.5
鸭皮,15.1,6.5,50.2
鸭翅,6.3,16.5,6.1
鸭掌,6.2,26.9,1.9
鸭肠,0.4,14.2,7.8
鸭肝,0.5,14.5,7.5
鸭肝(公麻鸭),10.1,14.7,4.1
鸭肝（母麻鸭),5.9,16.8,2.5
鸭舌[鸭条],0.4,16.6,19.7
鸭心,2.9,12.8,8.9
鸭血 (白鸭),12.4,13.6,0.4
鸭血（公麻鸭）,0.0,13.2,0.4
鸭血 (母麻鸭),0.0,13.1,0.3
鸭胰,1.0,21.7,2.9
鸭盹,2.1,17.9,1.3
鸭胞(公麻鸭）,5.4,19.8,1.2
鸭盹 (母麻鸭),1.6,20.4,4.2
鸭豉片,6.1,18.3,56.1
北京烤鸭,6.0,16.6,38.4
北京填鸭,3.9,9.3,41.3
红烧鸭 (罐头),0.6,15.3,30.5
酱鸭,6.3,18.9,18.4
酱鸭(加梅菜，罐头),2.5,11.8,21.7
盐水鸭 (熟),2.8,16.6,26.1
烤鸭 (老唐牌),0.0,20.3,25.3
烤鸭 (全聚德牌),0.0,18.1,50.8
赤小豆（千）[小豆，红小豆],63.4,20.2,0.6
小豆粥,13.7,1.2,0.4
红豆沙 (去皮),57.1,4.5,0.1
红豆馅,61.7,4.5,0.2
橙,,0.8 0.2,11.1
福橘,10.3,1.0,0.2
橘柑子[宽皮桂],10.2,0.8,0.1
橘 (金橘）[金枣],13.7,1.0,0.2
芦橘,10.3,0.6,0.2
蜜橘,10.3,0.8,0.4
三湖红橘,10.0,0.8,0.3
橘（四川红橘）,9.8,0.7,0.1
小叶橘,8.8,1.1,0.2
早橘,12.6,1.2,0.2
橘饼,92.9,0.6,0.4
柚[文旦],9.5,0.8,0.2
柠檬,6.2,1.1 D,1.2
葡萄柚[西柚],,0.7 0.3,7.8
葡萄柚[西柚],,0.7,0.1 10.0
大白菜（代表值）,3.4,1.6,0.2
大白菜（白梗)[黄芽白],3.7,1.7,0.2
大白菜（青白口）,3.0,1.4,0.1
大白菜 (小白口),2.8,1.3,0.1
白菜（脱水）,72.9,6.2,0.8
白菜墓[菜墓，菜心],4.0,2.8,0.5
红菜墓［紫菜墓］,2.7,2.9,2.5
瓢儿白[瓢儿菜],3.2,1.7,0.2
乌菜［乌塌菜，塌棵菜］,4.2,2.6,0.4
油菜 (黑),2.9,1.8,0.2
油菜 (脱水）,74.3,7.6,0.6
油菜（小),1.6,1.3,0.2
油菜墓[菜墓】,3.0,3.2,0.4
大白菜（白口）,2.9,1.0,0.1
大白菜（青口）,2.6,1.1,0.1
酸白菜[酸菜］,2.6,0.7,0.2
小白菜[青菜］,DL 2.4,1.4,0.3
奶白菜,,2.7,0.2 3.3
鸡毛菜,2.6,2.7,0.2
娃娃菜,2.4,1.9,0.2
乌塌菜［塌菜、塌棵菜］,2.6,1.8,0.1
油菜,2.0,1.3,0.5
油菜心,2.7,1.3,0.4
圆白菜，卷心菜,4.6,1.5,0.2
菜花（脱水）[脱水花椰菜］,76.8,6.5,0.6
芥菜（鲜）［雪里红，雪菜］,4.7,2.0,0.4
芥菜（大叶，鲜）「盖菜］,2.0,1.8,0.4
芥菜（茎用，鲜）[青头菜］,2.8,1.3,0.2
芥菜（小叶，鲜）[小芥菜］,3.6,2.5,0.4
结球甘蓝(绿)[圆白菜],4.0,0.9,0.2
结球甘蓝（紫）[圆白菜］,6.2,1.2,0.2
抱子甘蓝[小圆白菜],8.8,3.5,0.2
羽衣甘蓝,5.7,5.0,0.4
盖莱,2.8,1.5,0.2
芥蓝[甘蓝菜、盖蓝菜］,4.1,3.1,0.3
菜花（白色）[花椰菜］,4.2,1.7,0.2
西兰花[绿菜花】,3.7,3.5,0.6
菠菜（鲜）[赤根菜],4.5,2.6,0.3
菠菜(脱水）,75.7,6.4,0.6
冬寒菜（鲜）[冬苋菜，冬葵],4.9,3.9,0.4
胡萝卜缨(红，鲜),11.3,1.7,0.4
苦菜［节节花，拒马菜］,10.0,2.8,0.6
萝卜缨(白),1.7,2.6,0.3
萝卜缨（青）,7.6,3.1,0.1
萝卜缨(小萝卜）,4.1,1.6,0.3
落葵［木耳菜，软浆菜】,4.3,1.6,0.3
芹菜茎,4.5,1.2,0.2
芹菜叶（鲜）,5.9,2.6,0.6
甜菜叶 (鲜）,4.0,1.8,0.1
香菜（鲜）[荒萎］,6.2,1.8,0.4
香菜 (脱水),71.2,7.4,1.3
苋菜(绿，鲜),5.0,2.8,0.3
苋菜(紫，鲜）[红苋],5.9,2.8,0.4
蒿蒿（鲜）[蓬蒿菜，艾菜］,3.9,1.9,0.3
茴香（鲜）[小茴香],4.2,2.5,0.4
荠菜（鲜）［蓟菜，菱角菜］,4.7,2.9,0.4
莴笋(鲜）[莴苣],2.8,1.0,0.1
番杏[新西兰菠菜、夏菠菜］,3.1,1.8,0.1
樱桃萝卜缨,2.7,2.0,0.1
白凤菜,4.0,1.6,0.2
紫背天葵[红风菜、血皮菜］,3.8,1.9,-
芹菜（茎）[旱芹，药芹】,3.1,0.4,0.2
西芹[西洋芹菜，美芹],4.8,0.6,0.1
生菜[叶用莴苣],1.1,1.6,0.4
油麦菜,2.1,1.1,0.4
叶甜菜（白梗）,2.8,1.6,0.1
莴笋叶[莴苣菜］,2.9,1.0,0.2
菜[空心菜、藤藤菜］,4.0,2.2,0.2
观达菜［根达菜、牛皮菜】,4.5,1.9,0.3
球茎茴香[甜茴香、意大利茴香],4.7,1.2,Tr
竹笋(鲜）,3.6,2.6,0.2
白笋 (干),57.1,26.0,4.0
鞭笋（鲜）[马鞭笋],6.7,2.6,Tr
春笋 (鲜),5.1,2.4,0.1
冬笋（鲜）,6.5,4.1,0.1
黑笋(干),57.5,17.6,2.4
毛笋（鲜）[毛竹笋],3.8,2.2,0.2
玉兰片,18.6,2.6,0.4
百合(鲜),38.8,3.2,0.1
百合 (脱水),79.1,8.1,0.1
金针菜（鲜）[黄花菜],34.9,19.4,1.4
菊苣,3.4,1.3,0.2
芦笋(绿）[石刁柏、龙须菜],3.3,2.6,0.1
芦笋 (紫),3.4,2.7,0.2
结球菊苣 (红),3.4,1.8,0.2
软化白菊苣,3.1,1.5,0.2
穿心莲,2.5,1.7,-
红薯叶,5.1,3.1,Tr
南瓜藤,3.2,1.7,0.0
三七尖,4.0,2.3,
棠梨花,9.1,3.5,0.8
洋丝瓜苗,2.2,4.4,0.3
马铃薯[土豆、洋芋],17.8,2.6,0.2
马铃薯丁 (脱水),80.7,5.7,0.5
马铃薯 (烤),16.4,1.8,0.1
马铃薯 (蒸),15.3,3.0,Tr
马铃薯 (煮),14.2,3.2,Tr
马铃薯全粉,82.7,8.4,0.5
甘薯（白心）[红皮山芋],25.2,1.4,0.2
甘薯片[白薯干],80.5,4.7,0.8
甘薯粉[地瓜粉］,80.9,2.7,0.2
甘薯（红心）[山芋、红薯],15.3,0.7,0.2
木薯,27.8,2.1,0.3
鹅蛋,2.8,11.1,15.6
鹅蛋白,3.2,8.9,-
鹅蛋黄,6.2,15.5,26.4
鹅蛋 (煮),1.0,12.7,13.6
米粉（亨氏AD钙高蛋白营 养米粉加奶补钙系列米粉6 至36个月适用）,0.4,5.0,79.4
米粉（圣元高蛋白营养米粉 3段）,5.0,2.0,87.0
羊肉（代表值，fat7g),1.6,18.5,6.5
羊肉 (冻),3.8,12.6,24.4
羊肉（后腿，带骨),0.3,19.5,3.4
羊肉 (颈),2.2,21.3,4.6
羊肉 (里脊),1.6,20.5,1.6
羊肉(前腿，fat3g),1.6,18.6,3.2
羊肉 (青羊),1.0,21.3,1.1
羊肉(fat4g),0.2,20.5,3.9
羊肉（胸脯）,0.0,19.4,6.2
山羊肉 (生),9.4,8.7,24.5
羊蹄筋 (生),0.0,34.3,2.4
羊蹄筋 (泡发),1.9,8.4,Tr
羊肉（上脑）,0.0,19.0,2.0
羊肉 (腰窝),0.0,18.9,6.6
羊肉（前腿),0.0,19.8,2.0
羊肉 (后腿),0.0,20.6,3.2
羊肉片,2.4,18.0,4.0
羊大肠,0.0,13.4,2.4
羊肚,1.8,12.2,3.4
羊肺,2.5,16.2,2.4
羊肝,7.4,17.9,3.6
羊脑,0.1,11.3,10.7
羊舌,4.8,19.4,14.2
羊肾,1.0,16.6,2.8
羊心,2.0,13.8,5.5
羊血,6.9,6.8,0.2
腊羊肉,11.5,26.1,10.6
羊肉 (熟),0.0,23.2,13.8
羊肉串 (电烤),6.0,26.4,11.6
羊肉串 (烤),2.4,26.0,10.3
羊肉串 (炸),10.0,18.3,11.5
羊肉干,13.7,28.2,46.7
羊肉（羊肉手抓）,0.0,27.3,8.8
山羊肉 (酱),11.8,25.4,13.7
烧羊肉 (五香),0.0,33.6,5.4
羊肉串 (生),5.6,13.0,4.8
桃（代表值）,10.1,0.6,0.1
白粉桃,5.5,1.3,0.1
高山白桃,10.1,0.7,0.2
旱久保桃,11.3,0.9,0.1
桃（黄桃）,14.0,0.5,0.1
金红桃,6.6,0.7,0.1
桃（久保桃）,10.0,0.6,0.1
蜜桃,11.0,0.6,0.1
蒲桃,10.2,0.5,0.2
庆丰桃,10.1,0.6,0.1
晚桃 (黄),,0.7 0.2,9.6
五月鲜桃,0.9,0.4 0.1,10.0
早桃 (黄),1.1,0.4 0.1,10.1
桃(糖水罐头),-,0.3 0.2,14.5
李子,0.9,0.7 0.2,8.7
李子杏,1.1,1.0 0.1,8.6
梅[青梅],1.0,0.9 0.9,6.2
杏,1.3,0.9 0.1,9.1
杏 (罐头),1.4,0.6 0.2,9.7
杏干,4.4,2.7 0.4,83.2
布朗,-,0.6 0.2,10.7
西梅,0.7,0.7 0.1,10.3
枣(鲜),1.9,1.1 0.3,30.5
枣(干),6.2,3.2 0.5,67.8
枣(干，大),9.5,2.1,0.4 81.1
枣（金丝小枣）,7.0,1.2 1.1,76.7
乐陵枣,8.8,3.3,0.6 57.9
密云小枣,7.3,3.9,0.8 55.2
黑枣（无核）[乌枣],2.6,1.7,0.3 57.3
黑枣 (有核),9.2,3.7 0.5,61.4
酒枣,1.4,1.6,0.2 35.7
蜜枣[椰枣],5.8,1.3 0.2,84.4
冬枣,2.2,1.8,0.2 27.8
小枣 (干),66.8,2.7,0.7
酸枣,73.3,3.5,1.5
樱桃,10.2,1.1,0.2
樱桃 (野，白刺),59.8,11.4,3.9
草菇［大黑头细花草、稻菇］,1.6,2.7 0.2,4.3
大红菇（干）[草质红菇】,31.6,24.4 2.8,50.9
地衣（水浸）,1.8,1.5,Tr 1.8
冬菇（干）[毛柄金线菌],32.3,17.8,1.3 64.6
猴头菇（罐装）,4.2,2.0 0.2,4.9
黄蘑 (干),18.3,16.4,1.5 40.1
黄蘑（水发）,4.8,4.3,0.4 4.8
金针菇（鲜）[智力菇],2.7,2.4,0.4 6.0
金针菇 (罐装),2.5,1.0,Tr 6.7
口蘑（白蘑）,17.2,38.7,3.3 31.6
蘑菇（鲜蘑）,2.1,2.7,0.1 4.1
木耳（干）[黑木耳，云耳],29.9,12.1,1.5 65.6
木耳（水发）[黑木耳，云耳],2.6,1.5,0.2 6.0
平菇[糙皮侧耳，青蘑】,2.3,1.9,0.3 4.6
普中红蘑（千）,24.6,18.4,0.7 58.1
双孢蘑菇[洋蘑菇],1.5,4.2,0.1 2.7
松蘑（干）[松口蘑，松茸],47.8,20.3,3.2 48.2
香菇（鲜）[香草，冬菇],3.3,2.2,0.3 5.2
香菇（干）[香草，冬菇],31.6,20.0,1.2 61.7
香杏丁蘑 (千，大),24.9,22.4,0.2 53.9
香杏片口蘑（干）,22.6,33.4,1.5 37.6
羊肚菌（干）[干狼肚],12.9,26.9,7.1 43.7
银耳（干）[白木耳],,10.0,1.4 67.3
珍珠白蘑（干）,56.3,18.3,0.7
榛蘑（半干）[假蜜环菌],31.9,9.5,3.7
榛蘑 (水发）,9.4,2.8,1.1
白蘑菇[双孢蘑菇、洋蘑菇］,3.8,3.5,0.4
北风菌[荷叶离褶伞、一窝羊],2.9,1.7,0.1
草菇[大黑头细花草、稻菇］,3.1,1.1,0.4
茶树菇(干)柱状田头菇、油茶菇1,56.1,23.1,2.6
干巴菌,8.0,3.8,0.4
红奶浆菌[多汁乳菇、谷熟菌】,3.3,1.5,0.4
黄蘑 (干),46.9,24.6,6.4
黄伞菇（干)[多脂鳞伞、黄丝菌],57.5,22.8,3.2
鸡腿菇（干）[毛头鬼伞],51.8,26.7,2.0
鸡油菌[黄丝菌、杏菌］,5.1,2.0,0.3
鸡枞［蚁枞、伞把菇、鸡枞菌］,2.5,2.5,0.2
鸡枞（干）,44.8,32.8,3.7
鸡枞（油炸）[油鸡枞],10.2,4.8,66.3
鸡枞花,1.8,2.3,0.3
牛肝菌（白）[美味牛肝菌],4.5,4.0,0.4
牛肝菌（白、干）美味牛肝菌],53.3,27.8,1.6
牛肝菌（黑）[铜色牛肝菌],4.8,3.6,0.2
牛肝菌（鲜）[黄皮牛肝菌， 黄皮疣柄牛肝菌、黄癫头］,5.3,4.3,0.1
乳牛肝菌（干）[粘盖牛肝 菌、松树菌］,66.0,15.3,2.8
牛眼睛菌（鲜）[马勃菌],6.6,5.1,0.3
平菇[糙皮侧耳、青蘑】,3.2,1.7,0.1
青头菌[变绿红菇、绿菇】,3.1,2.7,0.1
松蘑（干）[松茸、松口蘑],66.5,12.5,3.0
杏鲍菇,8.3,1.3,0.1
血红菇 (干),56.0,22.4,6.7
元蘑（干）[亚侧耳、冬蘑、黄蘑],70.3,12.3,1.5
竹荪（干）[竹笙、竹参],60.3,17.8,3.1
榛蘑（干）[小蜜环菌］,54.6,17.7,10.8
蛹虫草 (干),60.9,23.7,Tr
大蒜（白皮，鲜）[蒜头],27.6,4.5,0.2
大蒜（脱水）,75.4,13.2,0.3
大蒜（紫皮，鲜）「蒜头］,29.6,5.2,0.2
青蒜 (青葱),6.2,2.4,0.3
蒜黄（黄色）,3.8,2.5,0.2
蒜苗(绿色，青蒜),8.0,2.1,0.4
蒜墓（圆）,15.4,2.0,0.1
大葱 (红皮),10.2,2.4,0.1
分葱[四季葱，菜葱］,5.1,2.2,0.7
葱 (小葱，鲜),4.9,1.6,0.4
大葱,5.8,1.6,0.3
细香葱[香葱、四季葱］,6.6,1.4,0.3
洋葱（鲜）[葱头],9.0,1.1,0.2
洋葱（白皮，脱水）,81.9,5.5,0.4
洋葱（紫皮，脱水）,80.6,真 6.9,0.4
韭黄(韭芽，黄色),,2.3,0.2 3.9
韭墓,7.8,2.2,0.1
韭菜,4.5,2.4,0.4
[皎头】,-,,-
白(鲜)[小根蒜，山蒜，团蒜],27.1,3.4,0.4
奶酪[干酪］,,23.5,3.5
奶豆腐 (脱脂),,53.7 2.5,26.5
奶豆腐（鲜）,,46.2,7.8 12.5
奶疙瘩「奶酪干，干酸奶],17.7,55.1,15.0
乳酪 (契达干酪，普通),0.1,25.5,34.4
乳酪 (契达干酪，脱脂),Tr,31.5,15.0
曲拉,43.4,39.1,2.9
乳酪 (全脂软酪),Tr,8.6,31.0
酸酪蛋,24.4,40.4,20.4
乳酪 (羊乳酪),1.5,15.6,20.2
乳酪（中脂软酪）,3.1,9.2,14.5
奶酪 (光明牌),6.5,16.5,28.4
奶酪 (骑士牌),16.3,23.0,25.4
低脂奶酪,12.6,21.6,11.6
硬质干酪,0.1,24.9,34.5
奶酪（爱氏晨曦牌，儿童 奶酪条),Tr,23.9,22.1
奶酪 (百嘉儿童干酪条),1.5,25.0,18.4
奶酪（多美鲜牌，欧洲奶 油奶酪),23.2,13.1,23.4
奶酪（天润牌，无限欢酪）,51.0,3.5,33.0
酸奶疙瘩 (干，农户家),20.9,48.8,18.6
酸奶疙瘩（干，市售）,19.6,31.1,27.6
"酸奶疙瘩(干,市售、加盐)",17.8,51.6,11.7
酸奶疙瘩（瑞缘牌，中脂 特硬质干酪）,49.5,14.4,22.3
酸奶疙瘩 (新鲜),12.4,18.6,16.8
艾蒿,3.6,,
白花菜,0.0,,-
白花桔梗,,,-
白沙蒿（鲜）[沙蒿],8.5,4.3,0.9
白沙蒿子（干）[沙蒿子],41.0,27.9,15.1
白薯叶（鲜）[甘薯叶],9.0,4.8,0.7
百里香 (鲜),-,-,-
败酱（鲜）[胭脂麻],17.3,1.5,1.0
扁蓄菜（鲜）[竹节草],12.4,6.0,0.6
朝鲜蓟 (鲜),10.9,2.7,0.2
刺儿菜（鲜）[小蓟，蓟蓟菜],5.9,4.5,0.4
刺楸(鲜),,-,二
达乌里胡枝子（鲜）[牛枝 子，豆豆苗,23.1,7.0,1.0
达乌里胡枝子子（鲜）[牛 枝子子，豆豆苗子1,41.7,36.8,8.3
大玻璃草叶（鲜）[大车前］,,4.4,0.3 8.8
大巢菜(鲜)野茗子，野豌豆】,13.6,3.8,0.5
大蓟叶（鲜）[飞廉叶],5.5,1.5,1.4
地肤（鲜）[益明，扫帚苗],10.4,5.2,0.8
地笋(鲜[地古牛，地瓜儿苗叶],13.7,4.3,0.7
豆腐柴（鲜）,,,-
独行菜 (鲜),-,2.0,-
独行菜（宽，鲜）,-,-,-
胡枝子（鲜）[山豆子],29.6,5.3,2.2
槐花（鲜）［洋槐花，豆槐花］,17.0,3.1,0.7
黄麻叶 (鲜),5.8,4.7,0.3
碱蓬（鲜）[棉蓬，猪毛菜],5.2,2.8,0.3
苦苦菜 (鲜),6.8,2.5,0.9
轮叶党参,-,,-
罗勒[兰香],4.6,3.8,
马齿苋（鲜)[长寿菜，瓜子菜],3.9,2.3,0.5
"马兰头(鲜)马兰,鸡儿肠， 路边菊］",4.6,2.4,0.4
麦瓶草（鲜）[米瓦罐］,4.4,4.5,0.5
牛至,-,,
牛蒡叶（鲜）,5.1,4.7,0.8
爬景天（鲜）[石头菜］,3.5,0.6,0.7
喷瓜,,,
婆罗门参 (白，鲜),,,
婆罗门参（黑，鲜）[鸦葱],-,-,0.1
蒲公英叶（鲜）[黄花苗叶， 李李丁叶】,7.0,4.8,1.1
掐不齐(鲜)[鸡眼草，牛黄草],23.6,6.1,1.4
清明菜（鲜）[鼠曲菜],8.9,3.1,0.6
沙参叶 (鲜）[白参],21.6,0.8,1.6
沙蓬子（鲜）「沙米],50.6,21.5,8.1
山苦荚叶（鲜）［启明菜叶],5.6,2.2,0.4
食用大黄 (鲜),1.5,1.6,
食用黄麻,-,0.9,0.1
酸模 (鲜),-,1.7,0.2
汤菜（鲜）,3.4,1.8,0.5
土三七（鲜）[景天三七],9.0,2.1,0.7
歪头菜（鲜）[草豆，二叶],17.9,2.5,0.3
梧桐子(鲜）[瓢儿果],30.1,23.6,38.8
夏枯草（鲜）[铁色草],12.7,2.5,0.7
香椿（鲜）[香椿芽］,10.9,1.7,0.4
香茅,-,1.7,0.2
小旋花（鲜）[狗儿蔓］,15.4,,0.5
"鸭跖草(鲜)竹叶菜,淡竹叶]",5.7,2.8,0.3
野葱（鲜）[沙葱，麦葱],6.7,2.7,0.2
野韭菜（鲜）[山韭],7.2,3.7,0.9
野菊（鲜）,9.0,3.2,0.5
野蒜（鲜）[小蒜，野葱］,7.7,1.0,0.4
野苋菜（鲜）[假苋菜］,,5.5,0.6 9.5
茵陈蒿（鲜）[茵陈],4.4,5.6 0.4,12.0
榆钱(鲜),4.3,4.8 0.4,7.6
珍珠花菜,0.0,1.7 0.2,-
紫花桔梗,2.9,0.9 0.1,
紫萼香茶菜,6.9,1.7 0.2,
苣英菜（尖叶）[取葵菜，苦麻子],0.2,2.0 0.0,
苜子（干）[紫首子],12.4,8.7,39.9
茴芹 (鲜),,0.9 0.1,17.0
荞菜（鲜）[野荞］,1.2,0.7,0.2 2.7
萎蒿 (鲜),0.0,3.7 0.7,9.0
蕨菜（鲜）[龙头菜，如意菜］,1.8,1.6 0.4,9.0
蕨菜 (脱水),25.5,6.6 0.9,79.7
蕨麻（干）[鹅绒委陵菜],3.2,1.4,75.0
枸杞菜（鲜）[枸杞，地骨],1.6,5.6 1.1,4.5
浆草（鲜）酸酸草，酸溜溜],,3.1 0.5,12.4
苦苣菜[苦菜、天精菜】,1.7,3.1 0.6,4.5
首[草头、金花菜］,1.4,5.0 0.7,2.9
鱼腥草（叶）[菜、臭菜],,2.1 0.1,10.7
鱼腥草（根）,,2.1 0.1,19.5
刺五加尖,,4.8 1.0,10.2
枸杞叶,,3.0,1.3 5.3
灰灰菜 (干，藜),,18.3 1.5,56.2
荆芥,,2.6,4.3
鸡 (代表值),0.9,20.3,6.7
鸡(土鸡，家养),0.0,20.8,4.5
母鸡 (一年内),5.8,20.3,16.8
肉鸡 (肥),0.9,16.7,35.4
华青鸡,0.0,19.6,8.8
沙鸡,1.6,20.0,6.7
鸡 (乌骨鸡),0.3,22.3,2.3
鸡爪,2.7,23.9,16.4
鸡胸脯肉,0.6,24.6,1.9
鸡腿,0.0,20.2,7.2
鸡翅,5.5,19.0,11.5
鸡块 (带浆粉),18.8,12.2,9.1
野山鸡,6.6,20.4,2.0
鸡肝,2.8,16.6,4.8
鸡肝（肉鸡）,3.5,16.7,4.5
鸡心,0.6,15.9,11.8
鸡血,4.1,7.8,0.2
鸡盹［鸡胗］,4.0,19.2,2.8
扒鸡,0.0,29.6,11.0
炸鸡块[肯德基],10.5,20.3,17.3
卤煮鸡,5.8,29.4,7.9
瓦罐鸡汤 (肉),5.2,20.9,9.5
瓦罐鸡汤 (汤),,1.3,2.4 0.0
鸡肉松,,7.2,16.4 65.8
扒鸡 (五香脱骨),,23.4,10.8 3.8
烤鸡,,28.1,16.9 0.0
童子鸡 (熟),0.0,15.8,18.1
较大婴儿和幼儿配方奶 粉（爱+婴幼儿配方奶粉3 阶段）,,,56.9
较大婴儿和幼儿配方奶粉 （爱+幼儿配方奶粉4阶段),0.9,21.0,56.9
较大婴儿和幼儿配方奶粉 （贝因美较大婴儿配方奶粉）,0.6,22.5,56.0
较大婴儿和幼儿配方奶 粉（超级能恩较大婴儿及幼 儿配方奶粉2段),,22.7,57.6
较大婴儿和幼儿配方奶 粉（雀巢力多精较大幼儿及 幼儿配方奶粉2）,1.7,19.8,59.1
较大婴儿和幼儿配方奶 粉（雀巢能恩全进口奶源较 大婴儿及幼儿配方奶粉2),,20.2,59.1
较大婴儿和幼儿配方奶 粉（三元爱力优较大婴儿及 幼儿配方奶粉）,0.9,816.619.6,55.2
较大婴儿和幼儿配方奶 粉（三元爱欣宝金装较大婴 儿及幼儿配方奶粉）,1.8,19.7,55.6
较大婴儿和幼儿配方奶 粉（三元金装爱力优较大婴 儿及幼儿配方奶粉）,0.9,16.420.0,55.2
较大婴儿和幼儿配方奶 粉（圣元优博爱系列2较大 婴儿和幼儿配方奶粉）,0.0,,56.1
较大婴儿和幼儿配方奶 粉（圣元优聪金装较大婴儿 和幼儿配方奶粉）,,21.5,56.5
较大婴儿和幼儿配方奶 粉（特选宝宝成长配方奶粉 2阶段）,0.6,22.5,56.0
较大婴儿和幼儿配方奶 粉（雅培金装喜康宝较大婴 幼儿配方奶粉）,2.6,,52.6
较大婴儿和幼儿配方奶 粉（雅培亲护金装较大婴儿 和幼儿配方奶粉2阶段),1.1,23.8,54.7
较大婴儿和幼儿配方奶粉 （伊利较大婴幼儿配方奶粉）,0.9,19.0,57.1
较大婴儿和幼儿配方奶 粉（伊利金领冠较大婴儿及 幼儿配方奶粉）,0.9,20.5,54.9
较大婴儿和幼儿配方奶 粉（伊利金装较大婴幼儿配 方奶粉）,0.9,20.0,56.0
苹果胡萝卜汁（亨氏苹果,,1.0,8.0
胡萝卜汁1阶段）,,1.0,8.2
苹果汁(亨氏苹果汁1阶段),-,1.0,10.2
葡萄汁(亨氏葡萄汁1阶段),,1.0,7.5
香橙汁(亨氏香橙汁1阶段),,? 1.0,8.3
较大婴儿配方奶粉（超级 飞帆较大婴儿配方奶粉IV）,57.6,15.2,21.5
较大婴儿配方奶粉（多美 滋多领加较大婴儿配方奶粉,56.1,16.0,21.3
2阶段） 较大婴儿配方奶粉（多美 滋优阶贝护延续较大婴儿配,52.6,15.2,20.4
方奶粉） 较大婴儿配方奶粉（飞帆 较大婴儿配方奶粉Ⅱ）,57.8,15.0,21.5
较大婴儿配方奶粉（合生 元超级呵护较大婴儿配方奶 粉2阶段）,56.5,15.0,22.5
较大婴儿配方奶粉（亨氏 超金智儿高较大婴儿配方奶 粉2段),2.8,,57.8
较大婴儿配方奶粉（惠氏 金装健儿乐较大婴儿和幼儿 配方奶粉）,2.2,22.0,57.2
较大婴儿配方奶粉（美素 佳儿GOLD金装较大婴儿配 方奶粉）,2.7,,59.0
较大婴儿配方奶粉（美赞 臣安婴宝较大婴儿配方奶粉）,2.8,18.9,61.8
较大婴儿配方奶粉（明治 珍爱宝较大婴儿和幼儿配方 奶粉）,2.0,18.0,62.9
较大婴儿配方奶粉（能慧 金装较大婴儿配方奶粉）,1.9,21.5,54.3
较大婴儿配方奶粉（欧世 蒙牛金装佳智较大婴儿配方 奶粉2阶段）,,22.9,51.8
较大婴儿配方奶粉（完达 山2段配方奶粉较大婴儿配 方奶粉）,0.9,22.5,55.1
较大婴儿配方奶粉（完达山 金装元乳较大婴儿配方奶粉),1.0,22.5,56.3
较大婴儿配方奶粉（完达 山育儿慧金装较大婴儿配方 奶粉2阶段）,0.9,22.5,55.2
较大婴儿配方奶粉（完达 山元乳较大婴儿配方奶粉2 阶段）,0.9,322.5,56.2
较大婴儿配方奶粉（雅士 利α-金装较大婴儿配方奶粉),2.0,21.3,54.2
较大婴儿配方羊奶粉（美 可高特大婴配方羊奶粉）,,25.1,46.6
婴儿配方奶粉（爱+新生 儿配方奶粉1阶段）,56.9,12.0,27.0
婴儿配方奶粉（爱+婴儿 配方奶粉2阶段),55.9,12.5,27.0
婴儿配方奶粉（贝因美初 生婴儿配方奶粉）,56.2,12.3,26.8
婴儿配方奶粉（超级飞帆 婴儿配方奶粉IV),57.6,12.0,27.1
婴儿配方奶粉（多美滋多 乐加婴儿配方奶粉1阶段）,57.4,11.1,25.8
婴儿配方奶粉（多美滋优 阶贝护婴儿配方奶粉),52.2,10.4,26.0
婴儿配方奶粉（飞帆婴儿 配方奶粉Ⅱ）,57.6,12.0,27.0
婴儿配方奶粉（合生元超 级呵护婴儿配方奶粉1阶段),58.7,11.8,25.0
婴儿配方奶粉（亨氏超金 康儿高婴儿配方奶粉1段）,57.3,11.0,26.0
婴儿配方奶粉（惠氏金装 爱儿乐婴儿配方奶粉）,58.4,11.0,29.0
婴儿配方奶粉（美素佳儿 GOLD金装婴儿配方奶粉）,57.1,10.6,27.0
婴儿配方奶粉（美赞臣安 婴儿婴儿配方奶粉）,61.0,10.5,26.0
婴儿配方奶粉（明治珍爱 儿婴儿配方奶粉）,58.8,12.2,225.9
婴儿配方奶粉（能慧金装 婴儿配方奶粉）,,,55.1
婴儿配方奶粉（雀巢力多 精婴儿配方奶粉1）,,25.5,58.9
婴儿配方奶粉（雀巢能恩 全进口奶源婴儿配方奶粉1）,,27.2,57.6
婴儿配方奶粉（三元爱力 优婴儿配方奶粉）,0.9,27.8,55.5
婴儿配方奶粉（三元爱欣 宝金装婴儿配方奶粉),1.6,27.3,56.1
婴儿配方奶粉（三元爱欣 宝婴儿配方奶粉）,1.6,27.2,56.1
婴儿配方奶粉（三元金装 爱力优婴儿配方奶粉),1.0,27.5,55.0
